149 category pages to visit
  sale al-ahsa-al-wadi                            7 items,   7 new, total  1333 (0.9s)
  rent al-ahsa                                   19 items,  19 new, total  1352 (0.9s)
  sale yanbu                                      0 items,   0 new, total  1352 (0.6s)
  rent yanbu                                      2 items,   2 new, total  1354 (0.7s)
  sale hail                                      32 items,  32 new, total  1386 (1.2s)
  sale hail-al-khuzama                            2 items,   2 new, total  1388 (0.6s)
  sale hail-hadri-al-bilad                        5 items,   4 new, total  1392 (0.8s)
  sale hail-al-madaen                             8 items,   5 new, total  1397 (0.8s)
  sale hail-an-naqrah-qafar                       4 items,   2 new, total  1399 (0.5s)
  sale hail-an-naqrah                             8 items,   3 new, total  1402 (0.9s)
  sale hail-al-muntazah-al-gharbi                 1 items,   1 new, total  1403 (0.7s)
  rent hail                                       1 items,   1 new, total  1404 (0.7s)
saved 1404 listings -> C:\Users\sparrow\Desktop\durglobal-chatbot\data\raw\wasalt_listings.json
saved 24 city guides -> C:\Users\sparrow\Desktop\durglobal-chatbot\data\raw\wasalt_city_guides.json
